action,last_action
Joined the Program,0.4224137931034483
profile,0.1810344827586207
reward,0.15732758620689655
level_up,0.14439655172413793
point_sub,0.01939655172413793
coupon_redeem,0.015086206896551725
referral,0.01293103448275862
checkout_item,0.010775862068965518
program_transfer,0.008620689655172414
checkout,0.008620689655172414
daily_login,0.00646551724137931
point_add,0.004310344827586207
refund,0.0021551724137931034
Earn bonus +150 points on your next purchase!,0.0021551724137931034
referral_points,0.0021551724137931034
Complete your referral with a purchase,0.0021551724137931034
